"VA Community Based Outpatient Clinics (CBOCs), FY2013",,,,,,
VISN,Station Number,Official Station Name,Location/City,State,FY13 Unique Patients,FY13 Clinic Encounters
6,652GF,Emporia,Emporia,VA,"1,417","8,879"
6,658GA,Tazewell,Tazewell,VA,740,"2,956"
6,658GB,Danville,Danville,VA,"5,263","29,820"
6,658GC,Lynchburg,Lynchburg,VA,"4,122","28,664"
6,658GD,Staunton,Staunton,VA,"1,959","12,406"
6,658GE,Wytheville,Wytheville,VA,"3,102","21,912"
6,658HG,Covington,Covington,VA,23,90
6,659BY,Winston-Salem,Winston-Salem,NC,"23,790","175,402"
6,659GA,Charlotte,Charlotte,NC,"23,857","219,261"
6,659GB,Hickory,Hickory,NC,"8,339","57,986"
7,508GA,East Point,East Point,GA,"8,187","43,615"
7,508GE,NE Georgia/Oakwood,Oakwood,GA,"5,049","23,988"
7,508GF,Austell,Austell,GA,"6,621","35,838"
7,508GG,Stockbridge,Stockbridge,GA,"7,243","42,716"
7,508GH,Lawrenceville (Gwinnett County),Lawrenceville,GA,"8,992","37,021"
7,508GI,Newnan,Newnan,GA,"4,460","20,660"
7,508GJ,Blairsville,Blairsville,GA,"2,716","13,305"
7,508GK,Carrollton,Carrollton,GA,"3,787","21,001"
7,509GA,Athens,Athens,GA,"4,471","22,173"
7,509GB,Aiken,Aiken,SC,"3,138","16,904"
7,521GA,Huntsville AL,Huntsville,AL,"7,261","47,955"
7,521GB,Decatur AL/Madison,Madison,AL,"5,784","27,817"
7,521GC,Florence AL (Shoals Area),Sheffield,AL,"3,482","26,413"
7,521GD,Rainbow City,Gadsden,AL,"3,898","24,964"
7,521GE,Anniston/Oxford AL,Oxford,AL,"4,134","24,712"
7,521GF,Jasper AL,Jasper,AL,"2,028","18,288"
7,521GG,Bessemer,Bessemer,AL,"3,085","29,006"
7,521GH,Childersburg,Childersburg,AL,"1,948","14,241"
7,521GI,Guntersville,Guntersville,AL,"2,238","18,282"
7,534BY,Savannah,Savannah,GA,"12,268","89,776"
7,534GB,Myrtle Beach,Myrtle Beach,SC,"11,161","77,869"
7,534GC,Beaufort,Beaufort,SC,"4,070","22,826"
7,534GD,Goose Creek SC,Goose Creek,SC,"10,636","49,362"
7,534GE,Hinesville,Hinesville,GA,"2,335","12,109"
7,544BZ,Greenville SC,Greenville,SC,"14,957","85,499"
7,544GB,Florence SC,Florence,SC,"6,378","34,958"
7,544GC,Rock Hill,Rock Hill,SC,"7,067","36,863"
7,544GD,Anderson County,Anderson,SC,"4,906","27,026"
7,544GE,Orangeburg County,Orangeburg,SC,"2,649","18,378"
7,544GF,Sumter County,Sumter,SC,"3,961","18,128"
7,544GG,Spartanburg,Spartanburg,SC,"4,945","25,607"
7,557GA,Macon GA,Macon,GA,"6,262","19,333"
7,557GB,Albany GA,Albany,GA,"5,030","22,509"
7,557GC,Baldwin County,Milledgeville,GA,"1,231","4,787"
7,557GE,Brunswick,Brunswick,GA,"3,168","26,265"
7,619GA,Columbus,Columbus,GA,"9,341","41,784"
7,619GB,Dothan,Dothan,AL,"4,887","17,749"
7,619GD,Wiregrass,Ft. Rucker,AL,"5,680","22,018"
7,619GE,Monroe County (Southwest),Monroeville,AL,554,"1,471"
8,516BZ,Ft. Myers (Lee County),Cape Coral,FL,"33,481","337,622"
8,516GA,Sarasota,Sarasota,FL,"12,715","81,924"
8,516GB,St Petersburg,St. Petersburg,FL,"2,511","25,762"
8,516GC,Palm Harbor,Palm Harbor,FL,"7,943","53,360"
8,516GD,Bradenton,Bradenton,FL,"13,109","75,358"
8,516GE,Port Charlotte/Charlotte County,Port Charlotte,FL,"9,059","70,841"
8,516GF,Naples/Collier County,Naples,FL,"6,676","46,486"
8,516GH,Sebring,Sebring,FL,"3,099","28,318"
8,546BZ,Broward County,Sunrise,FL,"21,804","192,496"
8,546GA,Miami,Miami,FL,"2,735","53,558"
8,546GB,Key West,Key West,FL,"2,049","16,259"
8,546GC,Homestead,Homestead,FL,"2,846","18,927"
8,546GD,Pembroke Pines,Hollywood,FL,"3,000","14,331"
8,546GE,Key Largo,Key Largo,FL,977,"3,384"
8,546GF,Hollywood (Southeast Broward County),Hollywood,FL,"3,741","19,829"
8,546GH,Deerfield Beach,Deerfield,FL,"1,989","7,590"
8,548GA,Ft Pierce,Fort Pierce,FL,"5,549","21,182"
8,548GB,Delray Beach,Delray Beach,FL,"8,224","24,158"
8,548GC,Stuart,Stuart,FL,"6,087","23,069"
8,548GD,Boca Raton,Boca Raton,FL,"3,527","13,887"
8,548GE,Vero Beach,Vero Beach,FL,"3,982","17,398"
8,548GF,Okeechobee,Okeechobee,FL,"2,170","12,490"
8,573BY,Jacksonville,Jacksonville,FL,"35,043","324,554"
8,573GA,Valdosta,Valdosta,GA,"4,567","18,808"
8,573GD,Ocala,Ocala,FL,"11,137","48,028"
8,573GE,St. Augustine,St. Augustine,FL,"5,312","30,671"
8,573GF,Tallahassee,Tallahassee,FL,"14,857","146,286"
8,573GG,Lecanto,Lecanto,FL,"7,167","31,888"
8,573GI,The Villages Sumter County FL ,The Villages,FL,"16,301","138,499"
8,573GJ,St. Marys,St. Marys,GA,"2,386","11,900"
8,573GK,Marianna,Marianna,FL,"2,230","12,142"
8,573GL,Palatka,Palatka,FL,"2,324","13,238"
8,672B0,Ponce,Ponce,PR,"11,891","164,020"
8,672BZ,Mayaguez,Mayaguez,PR,"10,088","123,202"
8,672GA,St Croix,St. Croix,VI,905,"4,222"
8,672GB,St Thomas,St. Thomas,VI,841,"3,425"
8,672GC,Arecibo,Arecibo,PR,"4,502","33,714"
8,672GD,Ceiba,Ceiba,PR,"3,832","21,043"
8,672GE,Guayama,Guayama,PR,"1,780","11,612"
8,673BZ,New Port Richey,New Port Richey,FL,"15,662","205,331"
8,673GB,Lakeland,Lakeland,FL,"9,844","67,291"
